"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.239262510E-1,-8.104071021E-3,2.529300749E-3,-4.448890686E-3
9.287984900E-1,-3.378719091E-3,-1.021869481E-3,1.523971558E-3
9.336707820E-1,1.481287181E-3,-2.227175981E-3,3.885269165E-3
9.385430210E-1,-2.108892798E-2,-1.167398319E-2,2.908706665E-4
9.434152610E-1,-1.735571027E-2,-3.250181675E-3,-2.085685730E-3
9.482875010E-1,-1.125022769E-2,-1.388995349E-2,-1.631259918E-2
9.531597400E-1,4.359222949E-3,-7.909324020E-3,-1.024246216E-2
9.580320320E-1,7.894895971E-3,7.576517761E-3,-3.034591675E-3
9.629042710E-1,-1.714408398E-3,5.155846477E-3,1.123523712E-2
9.677765110E-1,1.886583865E-3,9.863466024E-3,1.646041870E-3
9.726487510E-1,-1.234836131E-2,2.660930157E-3,-1.929283142E-3
9.775209900E-1,7.650554180E-4,-9.054765105E-4,1.233100891E-2
9.823932300E-1,-2.733968198E-3,7.312729955E-3,7.480621338E-3
9.872655210E-1,-1.459990814E-2,4.879832268E-3,9.792327881E-3
9.921377610E-1,-3.797572106E-3,8.416630328E-3,2.136230469E-4
9.970100010E-1,2.224527299E-3,-2.349983901E-3,-6.910324097E-3
1.001882240E0,-1.089893281E-2,9.542621672E-3,-9.164810181E-4
1.006754480E0,-4.920039326E-3,1.424290985E-2,2.652168274E-3
1.011626771E0,-1.344829798E-4,2.226918936E-3,1.442909241E-3
1.016499011E0,-6.057590246E-3,-4.897467792E-3,2.616882324E-3
1.021371251E0,1.097261906E-3,-1.322187483E-3,-9.641647339E-4
1.026243490E0,-3.663551062E-3,-1.438140124E-2,-5.704879761E-3
1.031115730E0,-4.809044302E-3,-5.978882313E-3,3.838539124E-3
1.035987969E0,-5.959786475E-3,2.441011369E-3,-3.316879272E-3
1.040860261E0,-1.179710031E-3,-1.123934984E-3,7.394790649E-3
1.045732501E0,5.920164287E-3,1.313241571E-2,-2.162933350E-3
