"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.889429690E-1,2.290677221E-4,-1.298050396E-3,-6.872031372E-4
5.913791150E-1,-9.926267667E-4,-1.908897655E-3,-6.872031372E-4
5.938152090E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
5.962513550E-1,2.290677221E-4,2.977880416E-3,5.344913807E-4
5.986875010E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
6.011235940E-1,2.290677221E-4,1.756185899E-3,-6.872031372E-4
6.035597400E-1,-3.817795368E-4,-6.872031372E-4,-7.635590737E-5
6.059958340E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
6.084319800E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
6.108680730E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
6.133042190E-1,-3.817795368E-4,-1.298050396E-3,-6.872031372E-4
6.157403650E-1,-3.817795368E-4,-7.635590737E-5,-6.872031372E-4
6.181764590E-1,2.290677221E-4,-7.635590737E-5,-1.298050396E-3
6.206126050E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
6.230486980E-1,1.450762269E-3,2.367033157E-3,-1.298050396E-3
6.254848440E-1,-9.926267667E-4,-1.298050396E-3,5.344913807E-4
6.279209900E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
6.303570840E-1,2.290677221E-4,1.756185899E-3,1.145338640E-3
6.327932300E-1,2.061609412E-3,-7.635590737E-5,-7.635590737E-5
6.352293230E-1,-3.817795368E-4,-7.635590737E-5,-6.872031372E-4
6.376654690E-1,-9.926267667E-4,1.756185899E-3,-7.635590737E-5
6.401016150E-1,1.450762269E-3,1.145338640E-3,-7.635590737E-5
6.425377090E-1,8.399150101E-4,-1.908897655E-3,5.344913807E-4
6.449738550E-1,-3.817795368E-4,-6.872031372E-4,-6.872031372E-4
6.474099480E-1,2.290677221E-4,5.344913807E-4,-1.298050396E-3
6.498460940E-1,-9.926267667E-4,5.344913807E-4,-7.635590737E-5
6.522822400E-1,-3.817795368E-4,5.344913807E-4,-1.298050396E-3
6.547183340E-1,-3.817795368E-4,1.145338640E-3,-7.635590737E-5
6.571544800E-1,-9.926267667E-4,-6.872031372E-4,-7.635590737E-5
6.595905730E-1,2.061609412E-3,5.344913807E-4,-6.872031372E-4
6.620267190E-1,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
6.644628130E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
6.668989590E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
6.693351050E-1,-3.817795368E-4,-6.872031372E-4,-1.908897655E-3
6.717711980E-1,8.399150101E-4,5.344913807E-4,-6.872031372E-4
6.742073440E-1,8.399150101E-4,2.367033157E-3,-6.872031372E-4
6.766434380E-1,2.290677221E-4,5.344913807E-4,1.145338640E-3
6.790795840E-1,-3.817795368E-4,1.145338640E-3,5.344913807E-4
6.815157300E-1,-9.926267667E-4,-6.872031372E-4,5.344913807E-4
6.839518230E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
6.863879690E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
6.888240630E-1,-3.817795368E-4,-6.872031372E-4,-7.635590737E-5
6.912602090E-1,-3.817795368E-4,1.756185899E-3,5.344913807E-4
